Grad,Broj
Beograd,2419
Novi Sad,1641
Niš,535
Jagodina,377
Kragujevac,260
Paraæin,206
Sombor,198
Inðija,171
Vrnjaèka Banja,156
Æuprija,142
Zrenjanin,110
Stara Pazova,103
Panèevo,99
Beoèin,98
Irig,81
Sremski Karlovci,72
Kruševac,65
Zlatibor,43
Vranje,42
Kraljevo,42
Temerin,41
Subotica,39
Žabalj,38
Aranðelovac,38
Leskovac,37
Prijepolje,35
Ruma,33
Ub,32
Smederevo,29
Požarevac,29
Srbobran,28
Svilajnac,23
Peæinci,22
Trstenik,21
Titel,20
Kovaèica,20
Vrbas,18
Užice,18
Apatin,18
Merošina,17
Šabac,14
Vladimirci,13
Smederevska Palanka,13
Valjevo,12
Topola,12
Èaèak,12
Gornji Milanovac,12
Beèej,12
Loznica,12
Sremska Mitrovica,12
Alibunar,11
Batoèina,11
Aleksinac,11
Baèka Palanka,11
Prokuplje,11
Kikinda,11
Mionica,11
Ljig,10
Kovin,10
Kniæ,9
Vladièin Han,9
Nova Varoš,8
Bajina Bašta,8
Vršac,8
Velika Plana,8
Kula,7
Pirot,7
Tara,7
Rekovac,7
Crna Trava,7
Kopaonik,7
Bela Crkva,6
Žitište,6
Opovo,6
Gadžin Han,6
Kosjeriæ,5
Baèki Petrovac,5
Šid,5
Baèka Topola,5
Golubac,5
Varvarin,5
Veliko Gradište,5
Požega,5
Bela Palanka,4
Raèa,4
Lajkovac,4
Seèanj,4
Ivanjica,3
Bujanovac,3
Raška,3
Bogatiæ,3
Koceljeva,3
Trgovište,3
Lebane,3
Novi Pazar,2
Bor,2
Žitoraða,2
Petrovac na Mlavi,2
Èajetina,2
Žabari,2
Sokobanja,2
Doljevac,2
Vranjska Banja,2
Baè,2
Arilje,2
Lapovo,2
Despotovac,2
Blace,2
Odžaci,2
Majdanpek,1
Mali Iðoš,1
Brus,1
Žagubica,1
Luèani,1
Èoka,1
Krupanj,1
Vlasotince,1
Kanjiža,1
Babušnica,1
Kuršumlija,1
Plandište,1
Knjaževac,1
Bosilegrad,1
Æiæevac,1
Negotin,1
Aleksandrovac,1
Kuèevo,1
Zajeèar,1
Oseèina,1
Surdulica,1
Tutin,1
Svrljig,1
